marketcap,volume,timestamp,name,symbol,slug
1079646009120.7388,61696004735.95695,,,,bitcoin
466934170135.17035,52018751754.36042,,,,bitcoin
101381074272.82687,4392656297.297935,,,,bitcoin
64538730791.89946,27238704823.46822,,,,bitcoin
55795362812.77694,162927017301.84094,,,,bitcoin
55580393492.78384,7075537750.299573,,,,bitcoin
54671183519.00901,8064942441.018638,,,,bitcoin
37117326722.60037,2381851607.164854,,,,bitcoin
27070646550.024002,7375326054.641679,,,,bitcoin
25659995740.74873,11490616263.42628,,,,bitcoin
20975485560.13515,3085866393.110132,,,,bitcoin
20615572057.163265,641758980.2916243,,,,bitcoin
16897799235.887249,4494441480.21667,,,,bitcoin
14382240741.817444,2494385674.3730154,,,,bitcoin
14264912536.664877,2110101187.1090434,,,,bitcoin
13675631308.952553,13091332598.413498,,,,bitcoin
12050560640.581993,396689663.34943205,,,,bitcoin
12050439999.18832,9550963068.904085,,,,bitcoin
11529078657.35703,354102571.2903244,,,,bitcoin
10165170493.631905,3559512607.060017,,,,bitcoin
9994246021.631067,283262836.8258186,,,,bitcoin
10008986986.817421,986016837.6331116,,,,bitcoin
9568228985.24793,6950211525.516094,,,,bitcoin
8408443123.645745,615618583.5831556,,,,bitcoin
8203959232.898095,1478163002.383262,,,,bitcoin
7799613620.754869,8782125390.634129,,,,bitcoin
6601590050.94691,460496647.51888734,,,,bitcoin
6560398745.044624,1824043747.4553757,,,,bitcoin
6326713209.311877,429662554.19584274,,,,bitcoin
6053677775.58322,195865005.99694893,,,,bitcoin
5841901499.814023,814644975.7455525,,,,bitcoin
5785938092.49432,109860848.41000652,,,,bitcoin
5778597317.645634,381411872.21600175,,,,bitcoin
5347940314.424069,350275910.0211909,,,,bitcoin
5181326299.520671,321177467.6369935,,,,bitcoin
5153007396.035365,1494294864.9598,,,,bitcoin
5121863195.881598,57036181.89378007,,,,bitcoin
5046500043.67912,369080485.4762549,,,,bitcoin
4705609904.489036,517819451.17503875,,,,bitcoin
4701629564.653018,2061048149.9521098,,,,bitcoin
4590998446.694672,1532881520.3008559,,,,bitcoin
4532788018.462711,109003356.50906597,,,,bitcoin
4453050994.498135,241364936.96907362,,,,bitcoin
4153552894.102049,1222795168.714254,,,,bitcoin
4118501658.564442,108138542.91188186,,,,bitcoin
3954244776.1947217,224369101.7244379,,,,bitcoin
3691318615.4351854,192131317.27543086,,,,bitcoin
3595176373.231509,358293858.06693363,,,,bitcoin
3548735384.943502,953141249.4492608,,,,bitcoin
3347286698.9067793,204708925.18957132,,,,bitcoin
3189684718.6183667,73418297.50651774,,,,bitcoin
3148426297.6259775,184457450.47044328,,,,bitcoin
3073958017.946327,1939407.275924,,,,bitcoin
2812561356.805537,36269120.44606295,,,,bitcoin
2669994948.930002,346664697.4521099,,,,bitcoin
2643814405.6530614,425419150.411839,,,,bitcoin
2582067473.1871514,180651425.22739786,,,,bitcoin
2532737267.4481664,1422093278.6643248,,,,bitcoin
2355028238.4830484,312317323.1136952,,,,bitcoin
2354298069.3445854,260894594.17577997,,,,bitcoin
2272624498.671368,242096019.77494293,,,,bitcoin
2196327114.651496,9624625.8726399,,,,bitcoin
2168713601.9601483,88534643.95885135,,,,bitcoin
2124175740.0221038,510689237.1034167,,,,bitcoin
2109567674.4398289,423360820.1938019,,,,bitcoin
2090033289.1071994,25652803.98708337,,,,bitcoin
2075650299.5343904,1006700983.8673933,,,,bitcoin
2053682587.902881,48435278.42642944,,,,bitcoin
2013784516.5691607,98155250.30479318,,,,bitcoin
2017918077.6118815,365181640.49238706,,,,bitcoin
2013454785.5708244,112300622.48873642,,,,bitcoin
2009731829.690883,515123665.67111856,,,,bitcoin
1997149542.5552592,163937501.63919982,,,,bitcoin
1995704505.5345712,1883842471.7953923,,,,bitcoin
1957680299.0671782,29158447.26460592,,,,bitcoin
1869245661.2929752,64436358.19761897,,,,bitcoin
1870105879.456251,179687593.24017966,,,,bitcoin
1796823825.5853941,164491883.3511294,,,,bitcoin
1764870593.6422102,7445105.04611538,,,,bitcoin
1707077038.286896,136698612.55799255,,,,bitcoin
1583696412.9678783,622653371.4203516,,,,bitcoin
1544857010.0848784,187010418.34390238,,,,bitcoin
1518490756.6762455,36838043.05236209,,,,bitcoin
1502535868.080719,92350021.38271292,,,,bitcoin
1476109610.3078969,247027659.92627996,,,,bitcoin
1462219448.4666328,28317003.31134208,,,,bitcoin
1436474505.416981,98164480.47216356,,,,bitcoin
1422894000.4517307,176851530.4103087,,,,bitcoin
1396440793.7775245,180749740.02517897,,,,bitcoin
1291278411.2197065,357442924.7033484,,,,bitcoin
1275877286.49501,7454000.79133616,,,,bitcoin
1253697767.8109858,94981407.84024212,,,,bitcoin
1194809796.0419006,7841530.22743828,,,,bitcoin
1181575968.3306777,22557350.94998009,,,,bitcoin
1124032250.0829308,128427793.53145401,,,,bitcoin
1114998235.3094077,235220278.3197254,,,,bitcoin
1091719546.0956903,98445899.1892625,,,,bitcoin
1089787140.9041514,164059721.25079295,,,,bitcoin
1081711145.3681974,147443034.80255774,,,,bitcoin
1040536465.3001064,227034169.6912667,,,,bitcoin
1079646009120.7388,61696004735.95695,,,,ethereum
466934170135.17035,52018751754.36042,,,,ethereum
101381074272.82687,4392656297.297935,,,,ethereum
64538730791.89946,27238704823.46822,,,,ethereum
55795362812.77694,162927017301.84094,,,,ethereum
55580393492.78384,7075537750.299573,,,,ethereum
54671183519.00901,8064942441.018638,,,,ethereum
37117326722.60037,2381851607.164854,,,,ethereum
27070646550.024002,7375326054.641679,,,,ethereum
25659995740.74873,11490616263.42628,,,,ethereum
20975485560.13515,3085866393.110132,,,,ethereum
20615572057.163265,641758980.2916243,,,,ethereum
16897799235.887249,4494441480.21667,,,,ethereum
14382240741.817444,2494385674.3730154,,,,ethereum
14264912536.664877,2110101187.1090434,,,,ethereum
13675631308.952553,13091332598.413498,,,,ethereum
12050560640.581993,396689663.34943205,,,,ethereum
12050439999.18832,9550963068.904085,,,,ethereum
11529078657.35703,354102571.2903244,,,,ethereum
10165170493.631905,3559512607.060017,,,,ethereum
9994246021.631067,283262836.8258186,,,,ethereum
10008986986.817421,986016837.6331116,,,,ethereum
9568228985.24793,6950211525.516094,,,,ethereum
8408443123.645745,615618583.5831556,,,,ethereum
8203959232.898095,1478163002.383262,,,,ethereum
7799613620.754869,8782125390.634129,,,,ethereum
6601590050.94691,460496647.51888734,,,,ethereum
